id tanaman,nama tanaman,stok,jenis tanah,musim,value per kg,jumlah per m^2 (kg),berat per satuan,fase persemaian,fase pertumbuhan vegetatif,fase pembungaan generatif,fase pembuahan,fase pematangan,fase panen
JGBRZ,Jagung Brazil,30,Lempung,hujan,2500.0,1.2,0.35,14.0,45,20,15,10,7.0
TMIND,Tomat Indramayu,30,Andosol,kemarau,6000.0,2.5,0.25,10.0,30,15,12,8,5.0
CNBMR,Cabai Merah,20,Regosol,,8000.0,1.8,0.15,12.0,40,18,14,9,6.0
KMBKL,Kembang Kol,40,Mediteran,dingin,7000.0,2.1,1.2,13.0,35,16,12,9,5.0
WRTGR,Wortel Garut,30,Latosol,hujan,5000.0,1.7,0.3,11.0,32,14,10,8,4.0
SPNGB,Bayam Banjarbaru,64,Alluvial,kemarau,3000.0,1.3,0.05,9.0,28,10,8,6,3.0
TRSGG,Terong Banyuwangi,52,Andosol,,4500.0,1.9,0.4,10.0,34,15,11,8,5.0
SLDMD,Selada Depok,58,Organosol,semi,3500.0,1.6,0.18,8.0,25,12,9,7,4.0
SMKRM,Semangka Karam,56,Latosol,hujan,7000.0,1.7,2.5,11.0,32,14,10,8,4.0
PTSHM,Petai Sumatera,30,Latosol,hujan,6000.0,1.5,1.5,12.0,38,17,13,9,5.0
KCPDN,Kacang Panjang,20,Alluvial,kemarau,4000.0,1.8,0.1,10.0,30,13,10,7,3.0
BMBLN,Bambu Belanda,20,Mediteran,semi,2500.0,0.9,15.0,15.0,42,20,15,11,6.0
KTMBL,Katuk Merah Belitung,30,Andosol,hujan,4800.0,1.6,0.08,11.0,31,14,11,8,4.0
SPTLM,Seledri Talam,20,Organosol,dingin,5200.0,1.4,0.12,9.0,27,12,9,6,3.0
MRCHN,Merica Hitam NTT,50,Regosol,kemarau,9000.0,1.2,0.03,14.0,40,18,14,10,6.0
KLMKN,Kol Mini Kenanga,60,Latosol,semi,5500.0,2.0,0.6,12.0,33,15,12,8,4.0
STBLK,Sente Belitung,15,Andosol,,4700.0,1.3,1.0,13.0,36,16,12,9,5.0
LMBHR,Lombok Hijau Rinjani,45,Regosol,hujan,7500.0,1.7,0.12,12.0,37,17,13,10,5.0
BLTTH,Belitih Tanah Hitam,40,Mediteran,,6800.0,1.9,0.75,11.0,34,15,11,8,4.0
